uda,hm3,cost
UDA10,18.02,9503474.71142765
UDA11,0,0
UDA11,0.149685713001468,1819439.99623716
UDA11,0.420338799208146,3593783.22425997
UDA11,0.811959258620034,5368126.45228279
UDA11,1.33695498174409,7125167.10827712
UDA11,2.49649051217137,8385597.00836186
UDA11,4.32643449948179,9402370.01218283
UDA11,6.59992711508426,10419143.0160038
UDA11,9.31696835897878,11435916.0198248
UDA11,12.4775582311654,12452689.0236457
UDA11,14.7789638207897,13438151.4274596
UDA11,16.8877698896633,14403558.6381047
UDA11,17.83,14818760.2783647
UDA12,0,0
UDA12,0.083618245100834,872798.514069506
UDA12,0.208781053866509,1745597.02813901
UDA12,0.392810419330068,2517530.85502211
UDA12,0.662234983742575,3148469.53989163
UDA12,1.00089240385276,3779408.22476115
UDA12,1.36942293145915,4396393.40128386
UDA12,1.82234333424931,4985702.53252885
UDA12,2.49812373293334,5562748.53806577
UDA12,3.27776554077948,6139794.54360269
UDA12,3.85054434667952,6572270.33344795
UDA12,4.48887863976775,6928832.97850019
UDA12,5.15485051776908,7264856.87962462
UDA12,5.82210330170807,7589947.12182335
UDA12,6.52067544838441,7912668.63189515
UDA12,7.25503138899219,8235390.14196696
UDA12,8.02523505859543,8558111.65203876
UDA12,8.83121811281534,8880833.16211057
UDA12,9.56122426441279,9184277.41499856
UDA12,10.4870767450295,9447957.20705028
UDA12,11.4042076010517,9667543.13281391
UDA12,12.01,9801065.41330836
UDA13,0,0
UDA13,0.097927062004665,285736.002081008
UDA13,0.219829046393279,571472.004162016
UDA13,0.36570595316584,857208.006243024
UDA13,0.560151412380722,1082043.23958438
UDA13,0.800084775409019,1288599.38566703
UDA13,1.07997634241056,1495155.53174969
UDA13,1.39982611338535,1701711.67783235
UDA13,1.64844348055825,1908267.823915
UDA13,1.85449891562803,2114823.96999766
UDA13,2.06055435069781,2316157.64588145
UDA13,2.33869843679749,2452360.43016511
UDA13,2.70960816343929,2564953.49264374
UDA13,3.07092239695185,2676314.1986379
UDA13,3.43913816726126,2770336.36702995
UDA13,3.8199398511263,2855651.01460142
UDA13,4.22100052854497,2939745.11947313
UDA13,4.64039226221035,3023839.229633
UDA13,5.11308860825442,3107232.81514692
UDA13,5.55,3180069.47672886
UDA14,0,0
UDA14,0.088482083746986,87812.174
UDA14,0.194766474531202,158226.479791149
UDA14,0.32228067377462,221705.159791149
UDA14,0.469898104354803,285183.839791149
UDA14,0.624274997669605,348662.519791149
UDA14,0.749129997203526,412141.199791149
UDA14,0.873984996737448,475619.879791149
UDA14,0.998839996271369,539098.559791149
UDA14,1.12369499580529,602323.010612695
UDA14,1.26033327548908,650611.586296605
UDA14,1.46435519811097,685338.155830264
UDA14,1.55,699890.813679621
UDA15,0,0
UDA15,0.194541979037787,580720.082363777
UDA15,0.43408584833822,1046730.81889051
UDA15,0.727398295311681,1466528.46879204
UDA15,1.02222337402137,1886326.11869356
UDA15,1.27777921752671,2306123.76859509
UDA15,1.53333506103205,2725921.41849661
UDA15,1.78889090453739,3145719.06839814
UDA15,2.04444674804273,3565516.71829966
UDA15,2.30000259154807,3983601.69273586
UDA15,2.6188697459841,4290395.09040718
UDA15,3.05951690850569,4518845.31529826
UDA15,3.48084184476193,4705623.0315226
UDA15,3.933383992502,4876042.33501253
UDA15,4.41834907267507,5038939.32877881
UDA15,4.89395556606271,5191593.02056623
UDA15,5.39086166807233,5344246.71235365
UDA15,5.90913533752105,5496900.40414107
UDA15,6.05,5537338.26420941
UDA16,0,0
UDA16,0.019435608894405,733238.45657288
UDA16,0.070193210325444,1408321.18466765
UDA16,0.167888658000126,1844392.39300169
UDA16,0.284009215696913,2125344.98468945
UDA16,0.425694353111514,2400846.06739865
UDA16,0.59563178889397,2676347.16746149
UDA16,0.793859720596155,2951848.26752432
UDA16,1.02036078569449,3227349.35023352
UDA16,1.27510373164653,3502850.45029636
UDA16,1.57766306753532,3768592.8144482
UDA16,1.95013781337228,4017156.02377265
UDA16,2.361692127281,4265719.2330971
UDA16,2.73730948988578,4492137.28156232
UDA16,3.4098121156737,4705871.49829871
UDA16,4.47322848733956,4913462.7500422
UDA16,5.56139687261972,5092273.57035772
UDA16,6.60586378605139,5225432.43249582
UDA16,7.73231653582339,5358591.29463392
UDA16,8.94075512193574,5491750.15677201
UDA16,9.22,5521295.75020209
UDA17,0,0
UDA17,0.051480072605843,124931.790663756
UDA17,0.106964793626233,222827.885336388
UDA17,0.166454163061172,320723.991151763
UDA17,0.229948180910658,418620.085824395
UDA17,0.294265148411038,516516.180497027
UDA17,0.353118178093245,614412.286312402
UDA17,0.411971207775453,712308.380985034
UDA17,0.47082423745766,810204.475657666
UDA17,0.529677267139868,908100.581473041
UDA17,0.588530296822075,1005996.67614567
UDA17,0.647383326504283,1103892.7708183
UDA17,0.706236356186491,1201788.87663368
UDA17,0.765089385868698,1294894.13729036
UDA17,0.823942415550906,1386933.20446727
UDA17,0.882795445233113,1461374.37971448
UDA17,0.941648474915321,1522733.75040392
UDA17,1.00050150459753,1581881.76550563
UDA17,1.05935453427974,1630843.57413105
UDA17,1.11820756396194,1673985.24888683
UDA17,1.17706059364415,1716717.67293325
UDA17,1.23591362332636,1759450.09697968
UDA17,1.29476665300857,1802182.52102611
UDA17,1.35361968269077,1839206.8180677
UDA17,1.41247271237298,1874360.33749834
UDA17,1.47132574205519,1907524.93280116
UDA17,1.52906284454639,1940684.7924377
UDA17,1.59301219054739,1969785.29464471
UDA17,1.69386551000883,1994570.88058373
UDA17,1.79673421637042,2018558.37861144
UDA17,1.90543634814853,2040635.26371764
UDA17,1.96895089308682,2060881.44052107
UDA17,2.06118843355014,2070002.20008146
UDA17,2.1558985551641,2078630.8626293
UDA17,2.25238147081059,2087259.52517713
UDA17,2.35076220912139,2095888.18772497
UDA17,2.4509791888301,2104516.8502728
UDA17,2.5529633642744,2113145.51282064
UDA17,2.65685096067995,2121774.17536848
UDA17,2.76257479848341,2130402.83791631
UDA17,2.87006023372551,2139031.50046415
UDA17,2.97945468822581,2147660.16301198
UDA17,3.09068538412402,2156288.82555982
UDA17,3.20367207916392,2164917.48810766
UDA17,3.31857339175897,2173546.15065549
UDA17,3.43531094575193,2182174.81320333
UDA17,3.55379890058964,2190803.47575116
UDA17,3.67420707127944,2199432.138299
UDA17,3.79645148336714,2208060.80084684
UDA17,3.92044069800266,2216689.46339467
UDA17,4.0463557267872,2225318.12594251
UDA17,4.17410699696966,2233946.78849034
UDA17,4.30359747140298,2242575.45103818
UDA17,4.43501935828227,2251204.11358601
UDA17,4.56827748655947,2259832.77613385
UDA17,4.7032692207906,2268461.43868169
UDA17,4.84019796576464,2277090.10122952
UDA17,4.97896295213659,2285718.76377736
UDA17,5.11945594616552,2294347.42632519
UDA17,5.26189154923431,2302976.08887303
UDA17,5.40616339370101,2311604.75142087
UDA17,5.55215764752775,2320233.4139687
UDA17,5.70010010869129,2328862.07651654
UDA17,5.84987881125274,2337490.73906437
UDA17,6.00137432487727,2346119.40161221
UDA17,6.15482364413556,2354748.06416005
UDA17,6.31010920479176,2363376.72670788
UDA17,6.37,2366680.26901781
UDA18,0,0
UDA18,0.00463986803997,160906.682110688
UDA18,0.012989057572154,287708.413411806
UDA18,0.025048855066432,414510.144712923
UDA18,0.040817116406335,541311.872434647
UDA18,0.06029684335492,668113.603735764
UDA18,0.083484176502543,794915.335036882
UDA18,0.110383832905436,921717.062758605
UDA18,0.140990237860778,1048518.79405972
UDA18,0.175305964308334,1175320.52536084
UDA18,0.213335300481041,1302122.25666196
UDA18,0.255070098736316,1428923.98438368
UDA18,0.300519364363331,1555725.7156848
UDA18,0.349673234426326,1682527.44698592
UDA18,0.402542429507648,1809329.17828703
UDA18,0.459115371378363,1936130.90600876
UDA18,0.519404495913993,2062932.63730987
UDA18,0.583396509592427,2189734.36861099
UDA18,0.651105563582365,2316536.09633272
UDA18,0.722516649068519,2443337.82763383
UDA18,0.797637056046886,2570139.55893495
